"","care_group","CH","ADC","ECH","MHH","ownership"
"1","1st Choice Care Homes","   8    ","       ","       ","       ","P"
"2","2Care","   5    ","       ","       ","       ","V"
"3","229 Mitcham Lane Ltd","   4    ","       ","       ","       ","P"
"4","3 L Care Ltd","   2    ","       ","       ","       ","P"
"5","3AB Care Ltd","   3    ","       ","       ","       ","P"
"6","9 Grace Road Ltd","   2    ","       ","       ","       ","P"
"7","A R Care Ltd","   2    ","       ","       ","       ","P"
"8","ABLE  Action for a Better Life","   2    ","       ","       ","       ","V"
"9","A C L Care Homes Ltd","   2    ","       ","       ","       ","P"
"10","A D L plc","   18   ","       ","       ","       ","P"
"11","A D R Care Homes Ltd","   5    ","       ","       ","       ","P"
"12","A G E Nursing Homes Ltd","   2    ","       ","       ","       ","P"
"13","A G L Care Ltd","   2    ","       ","       ","       ","P"
"14","A J   Co  Devon  Ltd","   2    ","       ","       ","       ","P"
"15","A K Supported Housing Ltd","   2    ","       ","       ","       ","P"
"16","A L A Care Ltd","   3    ","       ","       ","       ","P"
"17","A   L Care Homes Ltd","   2    ","   1    ","       ","       ","P"
"18","A M A F H H Healthcare Ltd","   2    ","       ","       ","       ","P"
"19","A M S Care Ltd","   2    ","       ","       ","       ","P"
"20","APS Care Ltd","   3    ","       ","       ","       ","P"
"21","ARCK Living Solutions","   2    ","       ","       ","       ","P"
"22","A R T I Care Homes Ltd","   3    ","       ","       ","       ","P"
"23","A S D Unique Services LLP","   4    ","       ","       ","       ","P"
"24","A S H A Healthcare","   3    ","       ","       ","       ","P"
"25","A1 Housing","       ","       ","   2    ","       ","P"
"26","A2 Dominion","       ","       ","   7    ","       ","V"
"27","Shahnaz Abbasi","   2    ","       ","       ","       ","P"
"28","Abbeville RCH Ltd","   3    ","       ","       ","       ","P"
"29","Abbey Ambitions","   2    ","       ","       ","       ","P"
"30","Abbey Village Ltd","   2    ","       ","       ","       ","P"
"31","Abbey Healthcare Homes Ltd","   15   ","       ","       ","       ","P"
